timestamp,instrument_token,last_price,volume,sell_quantity,last_quantity,change,average_price , open,high,low,close ,depth_buy_price_0 ,depth_buy_orders_0 ,depth_buy_quantity_0 ,depth_sell_price_0 ,depth_sell_orders_0 ,depth_sell_quantity_0 ,depth_buy_price_1 ,depth_buy_orders_1 ,depth_buy_quantity_1 ,depth_sell_price_1 ,depth_sell_orders_1 ,depth_sell_quantity_1 ,depth_buy_price_2 ,depth_buy_orders_2 ,depth_buy_quantity_2 ,depth_sell_price_2 ,depth_sell_orders_2 ,depth_sell_quantity_2 ,depth_buy_price_3 ,depth_buy_orders_3 ,depth_buy_quantity_3 ,depth_sell_price_3 ,depth_sell_orders_3 ,depth_sell_quantity_3 ,depth_buy_price_4 ,depth_buy_orders_4 ,depth_buy_quantity_4 ,depth_sell_price_4 ,depth_sell_orders_4 ,depth_sell_quantity_4 
2017-06-20 07:36:00.459670,1195009,166.8,4488900,871258,327,-0.74382624219,166.76,168.0,168.6,165.5,168.05,166.85,2,494,166.9,2,664,166.8,15,5892,166.95,13,3570,166.75,12,4958,167.0,17,4247,166.7,9,5480,167.05,12,4836,166.65,8,12459,167.1,18,6816
2017-06-20 07:35:59.402833,1195009,166.8,4488900,871567,327,-0.74382624219,166.76,168.0,168.6,165.5,168.05,166.8,9,2268,166.9,3,958,166.75,13,4648,166.95,15,4329,166.7,8,3281,167.0,21,6877,166.65,9,8290,167.05,11,4270,166.6,19,11781,167.1,17,6388
2017-06-20 07:35:58.391373,1195009,166.8,4488900,871567,327,-0.74382624219,166.76,168.0,168.6,165.5,168.05,166.8,9,2268,166.9,3,958,166.75,13,4648,166.95,15,4329,166.7,9,3631,167.0,21,6877,166.65,9,8290,167.05,11,4270,166.6,19,11781,167.1,17,6388
2017-06-20 07:35:56.455856,1195009,166.8,4488900,872870,327,-0.74382624219,166.76,168.0,168.6,165.5,168.05,166.8,8,965,166.9,4,2261,166.75,13,4648,166.95,15,4329,166.7,9,3631,167.0,21,6877,166.65,9,8290,167.05,11,4270,166.6,19,11781,167.1,17,6388
2017-06-20 07:35:54.637833,1195009,166.8,4488900,873466,327,-0.74382624219,166.76,168.0,168.6,165.5,168.05,166.8,6,372,166.9,6,2658,166.75,13,4282,166.95,15,4528,166.7,9,3631,167.0,21,6877,166.65,9,8290,167.05,11,4270,166.6,19,11781,167.1,17,6388
2017-06-20 07:35:49.465020,1195009,166.8,4488540,869461,67,-0.74382624219,166.76,168.0,168.6,165.5,168.05,166.8,10,3699,166.9,3,958,166.75,17,10256,166.95,15,4329,166.7,10,5202,167.0,19,5358,166.65,8,12459,167.05,11,4270,166.6,17,9967,167.1,18,8168
2017-06-20 07:36:03.544431,1195009,166.85,4488950,870162,50,-0.714073192502,166.76,168.0,168.6,165.5,168.05,166.85,3,1454,166.9,2,664,166.8,15,5892,166.95,13,3570,166.75,13,5008,167.0,18,4955,166.7,9,5480,167.05,12,4836,166.65,8,12459,167.1,18,6816
2017-06-20 07:35:45.345939,1195009,166.85,4488140,873660,1,-0.714073192502,166.76,168.0,168.6,165.5,168.05,166.85,2,2,166.9,3,958,166.8,13,4106,166.95,16,4628,166.75,15,10226,167.0,19,5358,166.7,11,5389,167.05,11,4270,166.65,8,12459,167.1,18,8168
2017-06-20 07:35:17.631285,1195009,166.85,4487870,869621,13,-0.714073192502,166.76,168.0,168.6,165.5,168.05,166.85,1,1,166.9,4,718,166.8,16,6185,166.95,15,4329,166.75,13,9849,167.0,20,5858,166.7,13,5710,167.05,11,4270,166.65,8,12459,167.1,18,8168
2017-06-20 07:35:07.362470,1195009,166.85,4487807,870431,77,-0.714073192502,166.76,168.0,168.6,165.5,168.05,166.85,1,200,166.9,2,124,166.8,13,4124,166.95,17,4642,166.75,11,8681,167.0,19,6949,166.7,14,5830,167.05,11,4270,166.65,7,6612,167.1,18,8168
